CustomerID,FirstName,LastName,DateOfBirth,Gender,GoodWithPets
1,Dylan,Quesada,6/25/1992,Male,Yes
2,Cody,March,6/19/1984,Male,Yes
3,Liam,Houghton,1/1/1998,Male,Yes
4,Jessica,Johnson,2/14/1992,Female,Yes
5,Kelly,Carter,6/9/1988,Female,Yes
6,Rocky,Cannon,8/17/1994,Female,No
7,Jason,Quesada,6/25/1992,Male,Yes
8,Casey,March,4/19/1983,Male,Yes
9,Sarah,Smith,11/8/1997,Female,No
10,John,Smith,7/22/1995,Male,Yes
11,Bruce,Wayne,5/27/1939,Male,No
12,Clark,Kent,6/18/1938,Male,Yes
13,Diana,Prince,12/12/1941,Female,Yes
